,idcomunidad,comunidad_x,anio,total,count,comunidad_y,ndvi_mean
549,8,Region de Murcia,1983,68.9,25,Región de Murcia,0.071002595
550,16,Comunidad de Madrid,1997,68.4,117,Comunidad de Madrid,0.100200266
551,7,La Rioja,2011,62.64,82,La Rioja,0.13835016
552,16,Comunidad de Madrid,1996,60.7,93,Comunidad de Madrid,0.099720836
553,7,La Rioja,1997,60.38,93,La Rioja,0.13791955
554,15,Islas Baleares,2014,60.260000000000005,103,Illes Balears,0.029786458
555,15,Islas Baleares,2002,57.82,73,Illes Balears,0.029376624
556,8,Region de Murcia,1986,52.199999999999996,13,Región de Murcia,0.080111414
557,7,La Rioja,2006,49.87,73,La Rioja,0.1390927
558,15,Islas Baleares,2008,44.96,121,Illes Balears,0.031080676
559,16,Comunidad de Madrid,1988,37.1,19,Comunidad de Madrid,0.10476328
560,7,La Rioja,2004,35.69,47,La Rioja,0.14323361
561,8,Region de Murcia,1985,32.2,19,Región de Murcia,0.06957368
562,7,La Rioja,2013,27.65,31,La Rioja,0.14561652
563,8,Region de Murcia,1988,9.6,21,Región de Murcia,0.08846883
